Manufacturer,Model,Form factor,Smartphone?,Year,Graph (million units),Graph (million units).1
Nokia,1100,Bar,No,2003,250[4][1][5],
Nokia,1110,Bar,No,2005,247.5[4][1][6],
Apple,iPhone 6 and iPhone 6 Plus,Touchscreen,Yes,2014,222.4[7],
Nokia,"105 series,",Bar,No,2013,200[8],
Apple,iPhone 6S and iPhone 6S Plus,Touchscreen,Yes,2015,174.1[9][10][11][12],
Apple,iPhone 5S,Touchscreen,Yes,2013,164.5[7],
Nokia,3210,Bar,No,1999,161[1][6][13],
Apple,iPhone 7 and iPhone 7 Plus,Touchscreen,Yes,2016,159.9[11][14][15][16][17],
Apple,"iPhone 11, iPhone 11 Pro and iPhone 11 Pro Max",Touchscreen,Yes,2019,159.2[18][19][20],
Apple,"iPhone XR, iPhone XS and iPhone XS Max",Touchscreen,Yes,2018,151.1[21][19],
Nokia,6600,Bar,Yes,2003,150[4][1],
Nokia,1200,Bar,No,2007,150[4][1][6],
Nokia,5230,Touchscreen,Yes,2009,150[4][1][6],
Samsung,E1100,Bar,No,2009,150[4],
Apple,iPhone 5,Touchscreen,Yes,2012,146.2[7],
Nokia,2600 (2610/2626/2630),Bar,No,2004,135[4][1][6][5],
Motorola,RAZR V3,Flip phone,No,2004,130[4][6],
Nokia,1600 (1650/1661),Bar,No,2005,130[4][1][6][5],
Nokia,3310 (3330),Bar,No,2000,126[4][1][6][22],
Apple,iPhone 8 and iPhone 8 Plus,Touchscreen,Yes,2017,124.7[23][19][16][24][25],
Apple,"Apple iPhone 12, iPhone 12 mini, iPhone 12 Pro and iPhone 12 Pro Max",Touchscreen,Yes,2020,100[18],
Nokia,1208 (1209),Bar,No,2007,100[4][1][6],
Nokia,1280,Bar,No,2010,100[26],
Nokia,6010 (6020/6030),Bar,No,2004,75[4][6][5],
Samsung,Galaxy S III and Galaxy S III Mini,Touchscreen,Yes,2012,70[27],
Samsung,Galaxy S4,Touchscreen,Yes,2013,70[28],
Nokia,5130 (5220/5310),Bar,No,2007,65[4][6],
Apple,iPhone X,Touchscreen,Yes,2017,63[29],
Apple,iPhone 4S,Touchscreen,Yes,2011,60[4][6][30],
Motorola,StarTAC,Flip phone,No,1996,60[4][6],
Motorola,C200,Bar,No,2003,60[6],
Motorola,C139,Bar,No,2005,60[30],
Samsung,Galaxy S7 and Galaxy S7 edge,Touchscreen,Yes,2016,55[31],
Nokia,3100 (3120),Bar,No,2003,50[6],
Nokia,6230 (6233),Bar,No,2004,50[6],
Apple,iPhone 4,Touchscreen,Yes,2010,50[30],
Nokia,6300,Bar,No,2006,47[32],
Samsung,Galaxy S6 and Galaxy S6 edge,Touchscreen,Yes,2015,45[33],
Nokia,N70 (N72/N73),Bar,Yes,2005,45[30][5],
Samsung,Galaxy S8 and Galaxy S8+,Touchscreen,Yes,2017,41[34],
Samsung,Galaxy S II,Touchscreen,Yes,2011,40[6],
Samsung,"Galaxy S10, Galaxy S10+ and Galaxy S10e",Touchscreen,Yes,2019,37[35],
Samsung,Galaxy S9 and Galaxy S9+,Touchscreen,Yes,2018,35.4[19],
Nokia,2650,Flip phone,No,2004,35[6],
Apple,iPhone 3GS,Touchscreen,Yes,2009,35[6],
Huawei,"P20, P20 Pro and P20 Lite",Touchscreen,Yes,2018,32[36][19],
Samsung,Galaxy A10,Touchscreen,Yes,2019,30.3[19],
Samsung,E250,Slider,No,2006,30[30],
LG,KP100,Bar,No,2008,30[37],
Samsung,Galaxy Note II,Touchscreen,Yes,2012,30[38],
Nokia,5200 (5300),Slider,No,2006,30[5],
Xiaomi,Redmi Note 8 and Redmi Note 8 Pro,Touchscreen,Yes,2019,30[39],
Apple,iPhone 12 Pro Max,Touchscreen,Yes,2020,29[18],
Samsung,"Galaxy S20, Galaxy S20+ and Galaxy S20 Ultra",Touchscreen,Yes,2020,28[40],
Samsung,Galaxy S,Touchscreen,Yes,2010,25[41],
Samsung,Galaxy Grand Prime Plus,Touchscreen,Yes,2016,24.2[19],
Samsung,Galaxy A50,Touchscreen,Yes,2019,24.2[19],
Apple,iPhone SE (2nd generation),Touchscreen,Yes,2020,24.2[42],
Samsung,Galaxy A51,Touchscreen,Yes,2019,23.2[42],
Samsung,Galaxy A20,Touchscreen,Yes,2019,23.1[19],
LG,Chocolate VX8500,Slider,No,2006,21[43][44][45][46],
Nokia,2100,Bar,No,2003,20[47][13],
Xiaomi,Redmi Note 7 and Redmi Note 7 Pro,Touchscreen,Yes,2019,20[48],
Huawei,P30 and P30 Pro,Touchscreen,Yes,2019,20[49],
Samsung,Galaxy A21s,Touchscreen,Yes,2020,19.4[42],
Huawei,Mate 10 and Mate 10 Pro,Touchscreen,Yes,2017,17[50],
Huawei,Mate 20 and Mate 20 Pro,Touchscreen,Yes,2018,17[49],
Samsung,Galaxy A01,Touchscreen,Yes,2019,16.9[42],
HTC,Thunderbolt,Touchscreen,Yes,2011,16[30],
Huawei,Mate 9,Touchscreen,Yes,2016,15.8[50],
Samsung,Galaxy A11,Touchscreen,Yes,2020,15.3[42],
Samsung,Galaxy J2 Core,Touchscreen,Yes,2018,15.2[19],
Nokia,5610 XpressMusic,Slider,No,2007,15[5],
Nokia,5800 XpressMusic,Touchscreen,Yes,2008,15[5],
Nokia,E71,Keyboard bar,Yes,2008,15[5],
Sony Ericsson,K300 (K310),Bar,No,2004,15[30][51],
Sony Ericsson,K750,Bar,No,2005,15[30],
Sony Ericsson,W800 (W810),Bar,No,2006,15[30][51],
Research In Motion (RIM),BlackBerry Pearl,Bar,Yes,2006,15[30],
Xiaomi,Redmi Note 9 Pro,Touchscreen,Yes,2020,15[42],
Samsung,"Galaxy S21, Galaxy S21+ and Galaxy S21 Ultra",Touchscreen,Yes,2021,13.5[40],
Motorola,Droid Bionic,Touchscreen,Yes,2011,13[30],
LG,Cookie (KP500),Touchscreen,No,2009,13[52][53],
Huawei,Mate 30 and Mate 30 Pro,Touchscreen,Yes,2019,12[54],
Samsung,Galaxy S22 Ultra,Touchscreen,Yes,2022,10.9[55][56],
Samsung,SGH-E700,Flip phone,No,2003,10[57],
Nokia,N95,Slider,Yes,2007,10[58],
LG,Shine,Slider,No,2008,10[59],
Samsung,Star/Tocco Lite (S5230),Touchscreen,No,2009,10[60],
Samsung,Galaxy Note,Touchscreen,Yes,2011,10[61][62],
Xiaomi,Mi 2,Touchscreen,Yes,2012,10[63],
Samsung,Galaxy Note 3,Touchscreen,Yes,2013,10[64],
LG,G3,Touchscreen,Yes,2014,10[65][66][67],
Samsung,Galaxy Note 8,Touchscreen,Yes,2017,10[68],
Xiaomi,Redmi 6A,Touchscreen,Yes,2019,10[69],
Samsung,Galaxy S20 FE,Touchscreen,Yes,2020,10[70][71],
Oppo,A5,Touchscreen,Yes,2019,9.7[69],
Samsung,Galaxy Note 9,Touchscreen,Yes,2018,9.6[68],
Samsung,Galaxy A30,Touchscreen,Yes,2019,9.2[69],
Xiaomi,Redmi 8A,Touchscreen,Yes,2019,7.3[20],
Oppo,F1 Plus,Touchscreen,Yes,2016,7[72],
Xiaomi,Redmi 8,Touchscreen,Yes,2019,6.8[20],
Samsung,Galaxy J4+,Touchscreen,Yes,2018,6.4[73],
Apple,iPhone,Touchscreen,Yes,2007,6[74],
LG,Viewty (KU990),Bar,No,2007,5[75],
Samsung,Galaxy J6+,Touchscreen,Yes,2018,4.9[73],
Samsung,Galaxy Note 4,Touchscreen,Yes,2014,4.5[76],
Samsung,Galaxy A10s,Touchscreen,Yes,2019,3.9[73],
Samsung,Galaxy A30s,Touchscreen,Yes,2019,3.4[73],
Nokia,N-Gage,Taco,Yes,2003,3[5],
LG,G2,Touchscreen,Yes,2013,3[77][78],
LeTV,LeEco Le 1s,Touchscreen,Yes,2016,3[79][80],
Google,Pixel and Pixel XL,Touchscreen,Yes,2016,2.1[81],
Palm,Centro,Keyboard bar,Yes,2007,2[82],
Nokia,N97,Tilt slider,Yes,2009,2[5],
